teamA,teamB,atkA,defA,ovrA,atkB,defB,ovrB,atkDiff,defDiff,ovrDiff,formationA,formationB,attackBiasA,attackBiasB,tempoA,tempoB,pressingA,pressingB,lineHeightA,lineHeightB,widthA,widthB,styleA,styleB,scoreA,scoreB,xgA,xgB,shotsA,shotsB,passesShortA,passesShortB,passesLongA,passesLongB,passesBackA,passesBackB,interceptsA,interceptsB,dribAttA,dribAttB,dribSuccA,dribSuccB,engine
Team0,Team1,64.16,75.59,69.65,68.88,77.99,73.18,-4.71,-2.40,-3.52,4-2-3-1,5-3-2,-0.009,-0.898,0.684,0.997,0.223,0.357,0.826,0.301,0.272,0.528,BAL,DEF,0,2,0.000,0.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team0,Team2,64.16,75.59,69.65,63.43,74.31,68.68,0.73,1.28,0.98,4-2-3-1,4-2-3-1,-0.009,0.880,0.684,0.389,0.223,0.117,0.826,0.341,0.272,0.438,BAL,OFF,1,2,0.381,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team0,Team3,64.16,75.59,69.65,68.86,68.19,68.76,-4.70,7.40,0.90,4-2-3-1,4-3-3,-0.009,-0.391,0.684,0.449,0.223,0.718,0.826,0.018,0.272,0.740,BAL,DEF,0,2,0.000,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team0,Team4,64.16,75.59,69.65,74.33,64.04,69.85,-10.17,11.55,-0.19,4-2-3-1,4-3-3,-0.009,-0.849,0.684,0.148,0.223,0.019,0.826,0.104,0.272,0.417,BAL,DEF,0,1,0.000,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team1,Team2,68.88,77.99,73.18,63.43,74.31,68.68,5.45,3.68,4.50,5-3-2,4-2-3-1,-0.898,0.880,0.997,0.389,0.357,0.117,0.301,0.341,0.528,0.438,DEF,OFF,2,2,0.766,0.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team1,Team3,68.88,77.99,73.18,68.86,68.19,68.76,0.02,9.80,4.42,5-3-2,4-3-3,-0.898,-0.391,0.997,0.449,0.357,0.718,0.301,0.018,0.528,0.740,DEF,DEF,0,2,0.000,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team1,Team4,68.88,77.99,73.18,74.33,64.04,69.85,-5.45,13.95,3.33,5-3-2,4-3-3,-0.898,-0.849,0.997,0.148,0.357,0.019,0.301,0.104,0.528,0.417,DEF,DEF,3,1,1.252,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team2,Team3,63.43,74.31,68.68,68.86,68.19,68.76,-5.43,6.12,-0.08,4-2-3-1,4-3-3,0.880,-0.391,0.389,0.449,0.117,0.718,0.341,0.018,0.438,0.740,OFF,DEF,0,1,0.000,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team2,Team4,63.43,74.31,68.68,74.33,64.04,69.85,-10.90,10.27,-1.17,4-2-3-1,4-3-3,0.880,-0.849,0.389,0.148,0.117,0.019,0.341,0.104,0.438,0.417,OFF,DEF,0,2,0.000,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
Team3,Team4,68.86,68.19,68.76,74.33,64.04,69.85,-5.47,4.15,-1.09,4-3-3,4-3-3,-0.391,-0.849,0.449,0.148,0.718,0.019,0.018,0.104,0.740,0.417,DEF,DEF,3,1,1.339,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRAPH
